dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Sweet couscous dessert,-0.20018404374379634,0.6772741710594603,-0.27404673429504145,-0.41960107770767885,0.5710509562888613,0.0785179658187692,-0.27252337180027303,-0.42928146633863556,-0.19534911535955518,0.7542357488041749,-0.22981144898025702,0.6772741710594603,-0.27404673429504145,-0.4196010777076788,0.8003325595186367,-0.3175926143476602,-0.4378115447180378
Sweetened yogurt (Shrikhand),-0.6749398053319081,-0.13944611300538542,0.15024264494147657,-0.6544090625379627,0.5645848568630938,-0.6795349740365405,-0.23286702520536287,1.826823890292328,-0.6361059218189041,-0.4599429187316607,0.17512854570694808,-0.13944611300538542,0.15024264494147657,-0.6544090625379626,0.7717984421800653,0.30603585183376447,-0.6769461982814354
Thickened sweetened milk (Rabri),-0.6983522721188303,-0.4662537175287727,-0.3583233918146238,-0.5340699703124423,0.10225874792071753,-0.6398274390917386,-0.2612648327035771,0.7713143155665714,-0.5571644042440953,-0.4095298791980745,-0.4743358348698522,-0.4662537175287727,-0.3583233918146238,-0.5340699703124422,0.05219332909387209,-0.0068204863544133,-0.1865067261359719
Gram flour halwa (Besan halwa),0.2296133818502943,0.4436694665463991,0.32751423489646025,0.05050407525461853,0.5662013817195356,-0.05143396672785534,-0.2661340079880365,0.26024889252648264,-0.3071829319238676,-0.503763483864701,0.19739263376070892,0.4436694665463991,0.32751423489646025,0.050504075254618565,-0.09373894810621554,-0.2793460306693179,0.01789735566109074
Prawn sandwich,-0.341778803013223,-0.3861948162378515,1.6294432889920774,-0.34231011603437717,-0.6154782883394749,-0.14889791613782374,-0.15298854756347516,0.23221076046419623,-0.017730700816235373,-0.08068174439437324,0.1855945700057246,-0.3861948162378515,1.6294432889920774,-0.34231011603437717,-0.4479769859269423,0.5554247063603547,-0.1357880080116733
Watercress sandwich,-0.023017267738886488,0.5780967261766773,0.12118172855541379,-0.23468978965383036,-0.5669825426462186,0.1073961730513523,-0.04208336496932235,0.5679265956861761,-0.09667221839104422,-0.4816593049922825,-0.5536873281896664,0.5780967261766773,0.12118172855541379,-0.23468978965383036,0.35245898354333793,-0.252272846246322,-0.22663175499471186
Fish sandwich ,-0.44550829709195566,-0.49373662394207407,-0.00959239518186926,-0.2884999528441038,-0.6292187496192309,-0.26441074506815665,-0.18242076905991372,-0.18687772141918566,-0.29402601232806613,-0.41728573143401076,-0.03704631053188353,-0.49373662394207407,-0.00959239518186926,-0.28849995284410374,-0.4926663343476786,-0.06592886644850114,0.14574814294616192
Kidney bean sandwich with cottage cheese,-0.30450018277618757,0.03023096137238791,1.4812326154231568,-0.4611816583547083,-0.4150292061406825,0.6127647996215588,-0.2189452986878242,1.5836783958474205,0.3309276684725032,-0.3614435953352691,3.2837280537944404,0.03023096137238791,1.4812326154231568,-0.46118165835470826,0.11572135908830725,0.444247984937975,-0.44703759963121725
Finger millet biscuit (Ragi biscuit),1.1990175020914882,2.0514194917245256,-0.21011271824570302,0.46582069842318297,0.6526854615391758,1.4466230334623993,-0.21879099383726033,2.1831603623220213,0.922989050283569,-0.5681370574229728,-0.5207669244862423,2.0514194917245256,-0.21011271824570302,0.46582069842318286,0.24068094027423637,-0.5404290692287239,-0.10451721349034243
Buttermilk biscuit,0.4736043512128658,0.990340322376197,0.29264113523318475,0.06028774128921366,-0.43523576684620596,-0.2824596245885212,-0.08991786864411667,0.10804188990264195,-0.24139833394486027,-0.5681370574229728,-0.5710038411203692,0.990340322376197,0.29264113523318475,0.06028774128921363,0.1391666148484045,-0.3503079631106053,-0.14331695609840917
Lemon cookies,0.8572701509056176,1.424092280116561,0.25486194393130307,0.33031692384404004,1.1837138768803317,-0.4268506607514373,-0.22652338134884895,0.18043664358727585,-0.29402601232806613,-0.5099681656534502,-0.579947534612051,1.424092280116561,0.25486194393130307,0.33031692384404004,0.11848856889538754,-0.4254833354705197,-0.06318381862429383
Sweet potato biscuit (Shakarkand ke biscuit),0.33419617767980286,1.1815257582948149,0.11246345363959484,-0.1446800621355549,-0.5087876478143113,0.11100594895542527,-0.08086531741103734,-0.05247270740632049,-0.21508449475325733,-0.2598419310445029,-0.44788533709658085,1.1815257582948149,0.11246345363959484,-0.1446800621355549,0.4518148735160956,-0.3611414514828844,-0.3261534423212244
Raspberry shortbread cookies,1.1060076112568817,2.562840532806829,-0.5094401570221508,0.24373147943787288,2.5892822395565425,-0.437679988463656,-0.2714718128186527,-0.683404853760311,-0.3532321505091727,-0.5677492648111759,-0.7531126639190795,2.562840532806829,-0.5094401570221508,0.24373147943787282,0.6086590095250244,-0.5820909378911876,-0.26227126651378146
