dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,36.92,13.44,41.04,40.976692563817984,14.916759156492787,45.549389567147614
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,44.96,6.28,18.99,66.26381724392041,9.255711127487105,27.988209285187914
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,36.6,7.36,21.330000000000002,56.04042259990813,11.269330883478794,32.6596233348645
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,28.92,6.92,21.150000000000002,50.82601054481547,12.161687170474517,37.17047451669596
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,30.48,6.64,20.07,54.70208183776023,11.916726489590811,36.01938262742283
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,28.44,7.44,22.68,49.529780564263326,12.957157784743991,39.49843260188088
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,32.6,19.12,45.99,33.5598105826642,19.682931850936793,47.34403953057443
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,26.04,5.16,6.12,73.02299495232755,14.469994391475044,17.162086371284353
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,7.44,5.4,6.4799999999999995,39.490445859872615,28.66242038216561,34.394904458598724
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,109.6,27.2,88.02,50.24987391683096,12.470771628994543,40.355783778827195
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,116.64,34.76,142.20000000000002,40.788921527486366,12.155546230241992,49.7272345782627
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,103.08,19.2,72.0,54.65535524920466,10.180275715800637,38.17603393425239
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,116.4,32.8,115.2,45.167048232509416,12.727484381669319,44.70140856000931
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,107.68,31.68,110.42999999999999,44.254479697517674,13.01989150090416,45.38467861252671
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,101.52,52.48,105.75,40.083705136810515,20.720969716113235,41.75385951751095
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,114.16,38.12,145.26,39.17235699825001,13.080328037607657,49.843873314346496
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38,137.04,31.0,112.85999999999999,50.24381301558203,11.365719523373052,41.37855178735105
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,74.04,29.24,136.07999999999998,31.463539010708825,12.425633180350161,57.82763895971442
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,305.36,122.44,0.77,6.0,17.53,78.72,21.8,101.97,39.69142338526698,10.991781374476881,51.41430948419301
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,374.39,67.75,1.36,0.0,9.04,56.0,35.08,224.37,17.9763739085773,11.260914227015922,72.0242681047766
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,116.16,21.2,82.08,54.25248703937228,9.901452524403343,38.33543505674653
Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,662.75,73.54,1.11,1.25,12.65,86.16,34.8,139.59,33.7102390547361,13.615556164169176,54.61481278610274
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,92.8,17.88,138.6,37.992303283386555,7.320068779169738,56.742815033161385
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,423.26,95.71,1.3,1.98,16.33,103.6,30.64,94.59,46.64355499527261,13.79496645806132,42.587006438251315
